date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:19	0/-1	---M--	302	error ('')			https://firecode.glitch.me/giris	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/giris.3e.delayed	(from https://firecode.glitch.me/kodlar)
16:38:19	56/56	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Mar%202020%2013:38:23%20GMT	https://firecode.glitch.me/kod/%c4%b0statistik	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/kod/%c4%b0statistik	(from https://firecode.glitch.me/kodlar)
16:38:19	0/-1	---M--	302	error ('')			https://firecode.glitch.me/giris	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/giris.40.delayed	(from https://firecode.glitch.me/kodlar)
16:38:19	56/56	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Mar%202020%2013:38:23%20GMT	https://firecode.glitch.me/kod/Embed%20Yaz	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/kod/Embed%20Yaz	(from https://firecode.glitch.me/kodlar)
16:38:19	0/-1	---M--	302	error ('')			https://firecode.glitch.me/giris	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/giris.42.delayed	(from https://firecode.glitch.me/kodlar)
16:38:20	56/56	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Mar%202020%2013:38:24%20GMT	https://firecode.glitch.me/kod/Yaz	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/kod/Yaz	(from https://firecode.glitch.me/kodlar)
16:38:20	0/-1	---M--	302	error ('')			https://firecode.glitch.me/giris	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/giris.44.delayed	(from https://firecode.glitch.me/kodlar)
16:38:20	56/56	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Mar%202020%2013:38:24%20GMT	https://firecode.glitch.me/kod/yetkililer	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/kod/yetkililer	(from https://firecode.glitch.me/kodlar)
16:38:20	0/-1	---M--	302	error ('')			https://firecode.glitch.me/giris	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/giris.46.delayed	(from https://firecode.glitch.me/kodlar)
16:38:20	56/56	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Mar%202020%2013:38:24%20GMT	https://firecode.glitch.me/kod/Temizle	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/kod/Temizle	(from https://firecode.glitch.me/kodlar)
16:38:20	0/-1	---M--	302	error ('')			https://firecode.glitch.me/giris	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/giris.48.delayed	(from https://firecode.glitch.me/kodlar)
16:38:20	56/56	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Mar%202020%2013:38:24%20GMT	https://firecode.glitch.me/kod/tkm	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/kod/tkm	(from https://firecode.glitch.me/kodlar)
16:38:20	0/-1	---M--	302	error ('')			https://firecode.glitch.me/giris	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/giris.4a.delayed	(from https://firecode.glitch.me/kodlar)
